"","blueWins","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueDragons","blueHeralds","blueTowersDestroyed","blueAvgLevel","blueTotalExperience","blueTotalJungleMinionsKilled","blueGoldDiff","blueExperienceDiff","blueCSPerMin","blueGoldPerMin","redWardsPlaced","redWardsDestroyed","redAssists","redEliteMonsters","redDragons","redHeralds","redTowersDestroyed","redAvgLevel","redTotalExperience","redTotalJungleMinionsKilled","redCSPerMin","redGoldPerMin"
"2927","0",14,1,"0",3,4,0,0,"0","0","0",7.2,19173,68,-1302,1008,22.4,1508.4,14,1,5,1,"1","0","0",7,18165,60,22.6,1638.6
"2928","0",148,3,"0",8,4,10,0,"0","0","0",7.2,18932,52,1627,1723,19.2,1660,16,2,2,1,"1","0","0",6.6,17209,64,19.4,1497.3
"2929","1",9,4,"0",6,8,7,0,"0","0","0",6.6,18257,63,-2221,-365,18.6,1598.2,17,0,15,0,"0","0","0",7.2,18622,48,21.9,1820.3
"2930","1",59,2,"0",5,5,4,0,"0","0","0",6.6,17606,52,-1874,-1002,22.1,1635.5,17,1,5,1,"0","1","2",7.2,18608,60,20.5,1822.9
"2931","1",86,3,"1",6,10,5,0,"0","0","0",7,17805,50,-545,-1102,21.5,1704,17,6,9,1,"1","0","0",7,18907,40,21.4,1758.5
"2932","1",19,5,"1",6,2,9,1,"1","0","0",6.8,17593,44,2423,295,24.3,1673.7,19,1,2,1,"0","1","0",6.8,17298,52,23.2,1431.4
"2933","0",13,4,"0",7,13,3,1,"1","0","0",7,18662,72,-2001,-1137,22.2,1709,19,1,20,0,"0","0","0",7.6,19799,24,21.7,1909.1
"2934","0",9,2,"1",5,15,5,0,"0","0","0",6,14871,36,-7206,-6046,16.8,1468.9,16,1,10,1,"1","0","0",7.4,20917,58,27.9,2189.5
"2935","1",19,3,"1",7,6,8,0,"0","0","0",6.8,17313,48,494,-1338,19.6,1613.5,16,3,2,0,"0","0","0",7.2,18651,64,21.4,1564.1
"2936","0",70,11,"0",6,5,5,1,"0","1","0",6.8,18497,47,496,1530,20.2,1650,47,1,6,1,"1","0","0",6.8,16967,40,22.2,1600.4
"2937","0",14,2,"1",6,7,8,0,"0","0","0",7,18742,72,568,-205,23.7,1731.8,18,1,8,2,"1","1","0",7.4,18947,60,20.2,1675
"2938","1",20,5,"1",9,2,14,0,"0","0","0",7,18332,58,3424,1624,23.2,1820.2,20,3,2,1,"1","0","0",6.4,16708,50,22.8,1477.8
"2939","0",33,3,"0",5,5,10,1,"1","0","0",7.2,19055,60,549,429,26,1720.8,17,4,6,0,"0","0","0",6.8,18626,60,25.8,1665.9
"2940","0",11,6,"0",5,2,8,1,"1","0","0",6.8,18200,64,1506,-169,25.1,1649.6,46,2,1,1,"0","1","0",7,18369,68,22.4,1499
"2941","1",26,2,"1",10,5,6,0,"0","0","0",7.4,19494,62,2833,3175,22.2,1791.5,14,4,6,0,"0","0","0",6.6,16319,25,20.6,1508.2
"2942","0",15,4,"0",10,8,16,0,"0","0","0",7.2,18476,49,773,1125,21,1891.7,15,2,11,1,"1","0","0",6.6,17351,65,20.7,1814.4
"2943","0",13,1,"0",8,12,8,1,"1","0","0",6.4,16372,39,-2146,-3245,17.6,1648.4,15,4,7,0,"0","0","0",7.2,19617,55,20.4,1863
"2944","0",20,5,"1",13,7,10,1,"1","0","0",7,18727,51,2399,1719,21.3,1940.2,18,2,8,0,"0","0","0",6.6,17008,32,21.2,1700.3
"2945","0",13,1,"1",4,1,5,2,"1","1","0",7.2,18711,64,453,76,24.9,1586.9,20,4,1,0,"0","0","0",7,18635,68,26.5,1541.6
"2946","1",15,0,"1",6,2,5,1,"0","1","0",7.4,19907,63,2533,1568,25.6,1733.8,16,5,3,0,"0","0","0",7.2,18339,53,24.2,1480.5
"2947","1",16,3,"1",12,1,10,0,"0","0","0",7.4,19281,43,5077,3251,23.1,1884.9,16,4,0,0,"0","0","0",6.6,16030,41,22.4,1377.2
"2948","0",17,2,"0",6,11,8,0,"0","0","0",6.2,15780,50,-4699,-4580,18.3,1525,16,3,12,1,"1","0","0",7.4,20360,56,23.7,1994.9
"2949","0",23,1,"0",4,7,6,0,"0","0","0",6.6,16010,40,-2161,-3222,20.7,1521,35,1,8,2,"1","1","0",7.4,19232,72,21.4,1737.1
"2950","1",34,3,"0",8,8,9,0,"0","0","0",7,17643,68,-795,-117,18.1,1669.2,35,1,14,0,"0","0","0",7,17760,32,22.2,1748.7
"2951","1",19,3,"1",4,4,3,0,"0","0","0",6.8,18305,50,875,-391,25.5,1662.1,15,4,7,0,"0","0","0",7,18696,65,23.8,1574.6
"2952","0",15,2,"0",3,6,4,1,"1","0","0",7,18184,61,-1556,-887,22.6,1569.8,36,3,7,0,"0","0","0",7,19071,57,23.7,1725.4
"2953","0",17,4,"0",2,10,3,1,"0","1","0",6.6,16673,53,-4019,-2008,19.9,1459.3,17,3,14,1,"1","0","0",7,18681,43,23.2,1861.2
"2954","1",16,2,"1",7,8,8,0,"0","0","0",6.8,16923,21,-609,-1114,22.1,1671.2,24,3,11,1,"1","0","0",6.8,18037,43,22.9,1732.1
"2955","0",16,3,"0",6,10,8,0,"0","0","0",7.2,17911,59,-2152,-2041,19.1,1683.7,16,4,8,2,"1","1","0",7.4,19952,56,23.7,1898.9
"2956","0",17,2,"0",5,5,5,1,"1","0","0",7,18547,56,-1509,-358,20,1551.4,14,3,4,0,"0","0","0",7,18905,58,25.9,1702.3
"2957","1",53,3,"1",8,8,4,0,"0","0","0",7.2,19937,64,-308,1739,23.5,1723.6,17,2,10,1,"1","0","0",6.8,18198,60,22,1754.4
"2958","0",33,4,"0",7,14,10,0,"0","0","0",7,17704,49,-4473,-3040,18.2,1620.4,17,1,19,1,"1","0","0",7.4,20744,80,23.7,2067.7
"2959","1",11,5,"1",9,6,10,0,"0","0","0",7,18184,49,2991,1357,21.9,1842.2,16,2,6,0,"0","0","0",6.6,16827,54,20,1543.1
"2960","0",20,13,"0",5,8,6,0,"0","0","0",6.8,16700,36,-2416,-3217,20.7,1535.6,42,3,8,0,"0","0","0",7.4,19917,62,23.9,1777.2
"2961","0",146,3,"1",2,4,1,0,"0","0","0",6.8,17467,65,-132,119,20.5,1484.8,15,2,3,1,"1","0","0",6.8,17348,44,21.3,1498
"2962","1",17,1,"0",4,4,3,0,"0","0","0",6.8,18341,51,91,591,23.7,1568.8,21,5,6,0,"0","0","0",6.8,17750,54,23.9,1559.7
"2963","1",20,3,"1",4,4,2,0,"0","0","0",7,19450,59,-842,2032,20.3,1492.6,15,4,7,1,"0","1","0",7,17418,47,24.3,1576.8
"2964","0",39,1,"0",7,14,5,0,"0","0","0",6.6,16496,34,-2302,-997,20.7,1619,17,5,16,0,"0","0","0",6.6,17493,52,17.3,1849.2
"2965","1",15,4,"1",6,2,8,1,"1","0","0",7,18426,59,2463,1390,22.6,1631.8,56,2,1,0,"0","0","0",6.8,17036,56,20,1385.5
"2966","0",30,4,"0",6,11,8,0,"0","0","0",6.6,16758,28,-4264,-3932,19.6,1537.6,16,4,6,2,"1","1","0",7.4,20690,72,26.2,1964
"2967","0",18,3,"0",1,10,1,0,"0","0","0",6.2,16186,49,-3480,-1368,23.3,1466.6,45,2,22,1,"1","0","0",7,17554,46,19.3,1814.6
"2968","1",17,6,"0",6,9,3,1,"1","0","0",7.2,18968,60,-1207,606,23.5,1630.1,25,6,10,0,"0","0","0",7,18362,45,23,1750.8
"2969","0",16,8,"0",4,11,9,0,"0","0","0",6.8,17488,37,-4664,-2707,21.3,1512.4,22,2,7,2,"1","1","0",7.4,20195,66,24.9,1978.8
"2970","1",46,2,"1",10,2,13,2,"1","1","0",7.4,20293,71,4888,3753,21.2,1903.1,12,12,3,0,"0","0","0",6.8,16540,56,18.2,1414.3
"2971","1",19,10,"1",11,9,9,0,"0","0","0",7.2,19012,36,1433,508,23.9,1858.1,30,5,7,1,"1","0","0",7,18504,44,21.8,1714.8
"2972","0",14,1,"0",7,3,9,2,"1","1","0",7,18638,56,1713,1673,23,1714.4,15,1,1,0,"0","0","0",6.6,16965,56,21.6,1543.1
"2973","0",58,2,"0",9,10,10,2,"1","1","0",7.2,19062,52,-328,137,20.4,1836.8,14,1,13,0,"0","0","0",7.2,18925,52,23,1869.6
"2974","1",21,4,"0",6,2,6,1,"1","0","0",7,18805,45,2726,1990,24.3,1684.4,39,4,1,0,"0","0","0",6.8,16815,50,21,1411.8
"2975","0",16,4,"0",8,10,13,0,"0","0","0",6.6,16612,43,-648,-1422,20.4,1670.7,18,3,12,1,"1","0","0",6.8,18034,52,19.3,1735.5
"2976","1",17,1,"0",10,9,9,2,"1","1","0",7,17858,56,-286,-916,17.7,1786.8,20,5,11,0,"0","0","0",7,18774,56,24.7,1815.4
"2977","1",38,3,"1",13,2,9,0,"0","0","0",7.8,21800,64,5300,4813,26.4,2004.3,34,12,0,1,"0","1","0",6.6,16987,52,23,1474.3
"2978","0",11,0,"1",3,11,3,0,"0","0","0",6.6,16246,66,-4835,-3655,19.4,1485.2,9,1,11,1,"1","0","1",7.2,19901,57,19.5,1968.7
"2979","0",15,7,"1",7,8,8,0,"0","0","0",6.2,15434,37,-592,-2438,18.3,1630.2,18,4,10,0,"0","0","0",6.8,17872,50,21.6,1689.4
"2980","1",57,4,"1",17,5,25,0,"0","0","2",7.4,20348,56,7776,6703,23.7,2335.9,14,5,7,0,"0","0","0",5.8,13645,41,13.4,1558.3
"2981","1",21,4,"0",8,6,12,1,"1","0","0",7.2,18953,42,1909,1099,24.2,1835.2,14,5,5,0,"0","0","0",7,17854,40,22.5,1644.3
"2982","1",42,6,"1",3,6,1,1,"0","1","1",6.8,17662,53,1942,450,24,1687.3,38,5,4,0,"0","0","0",6.8,17212,42,16.8,1493.1
"2983","0",23,7,"0",7,6,6,0,"0","0","0",7,18440,61,16,560,23.6,1694.9,22,7,7,2,"1","1","0",7.2,17880,40,23.2,1693.3
"2984","1",43,3,"0",5,8,3,0,"0","0","0",7.4,19207,64,-860,949,23,1634.4,13,8,6,1,"1","0","0",7.2,18258,52,20.2,1720.4
"2985","0",16,3,"0",5,6,6,0,"0","0","0",6.6,17072,49,-2308,-1946,21.1,1526.8,12,2,8,1,"1","0","0",7.2,19018,56,26.3,1757.6
"2986","1",15,5,"0",8,7,8,1,"0","1","0",6.4,16544,40,-460,-1189,18.6,1646.3,18,3,4,0,"0","0","0",6.8,17733,48,23.8,1692.3
"2987","1",18,1,"0",7,4,6,0,"0","0","0",6.8,17357,36,799,440,22.1,1704.9,20,2,3,1,"0","1","0",6.6,16917,48,21.5,1625
"2988","1",15,18,"1",4,2,3,1,"1","0","0",7.2,18673,52,886,355,24.2,1581.1,42,2,1,0,"0","0","0",7.2,18318,55,23.6,1492.5
"2989","0",16,1,"0",1,9,1,0,"0","0","0",6.4,16353,52,-3300,-3318,20.5,1410.9,12,0,7,0,"0","0","0",7.2,19671,39,23.1,1740.9
"2990","0",15,0,"0",2,8,2,0,"0","0","0",5.8,13648,36,-9341,-6317,15.2,1229.2,15,1,11,1,"0","1","2",7.4,19965,84,23.9,2163.3
"2991","1",89,4,"1",10,3,16,1,"1","0","0",7.2,18183,49,3851,1574,21.1,1848.7,17,1,3,0,"0","0","0",6.4,16609,52,21.1,1463.6
"2992","0",18,1,"0",8,5,7,1,"1","0","0",7.2,18713,71,-147,21,19.8,1686,14,1,5,0,"0","0","0",7.2,18692,56,25.7,1700.7
"2993","1",16,1,"1",7,5,14,1,"0","1","0",7,19047,64,1698,1171,22.2,1779.8,22,3,7,0,"0","0","0",6.8,17876,46,24.1,1610
"2994","0",18,3,"0",6,6,4,0,"0","0","0",6.6,17312,35,-966,-901,23,1578.9,15,3,5,1,"1","0","0",7,18213,48,23.1,1675.5
"2995","0",16,0,"0",13,7,19,1,"1","0","0",7,17551,32,3454,175,20.7,1960.9,13,2,6,0,"0","0","0",6.8,17376,45,20.1,1615.5
"2996","0",16,1,"0",5,6,6,1,"0","1","0",6.4,16170,48,-2673,-1867,17.4,1485.3,56,5,8,1,"1","0","0",7,18037,56,24.6,1752.6
"2997","0",14,2,"0",3,4,2,0,"0","0","0",7,17785,57,-482,-349,22.1,1536.9,19,6,5,1,"1","0","0",7,18134,56,25.7,1585.1
"2998","1",20,6,"1",6,8,7,0,"0","0","0",7,18362,46,-298,0,21.9,1705.3,18,4,7,1,"1","0","0",7.2,18362,45,21.3,1735.1
"2999","1",21,0,"1",11,9,10,1,"1","0","0",6.6,16527,42,-224,-765,16.1,1730.7,107,3,9,0,"0","0","0",6.8,17292,30,21,1753.1
"3000","0",15,1,"1",3,9,3,0,"0","0","0",6.4,15603,64,-1683,-377,19.5,1488.1,15,4,17,1,"1","0","0",6.4,15980,55,18.5,1656.4
"3001","1",15,5,"0",9,4,7,0,"0","0","0",7.4,20419,60,2514,2924,25,1792.8,36,1,5,0,"0","0","0",7,17495,61,18,1541.4
"3002","0",15,4,"0",3,3,2,1,"1","0","0",7,17630,51,81,450,22.1,1487.6,41,2,6,1,"0","1","0",7,17180,52,21.8,1479.5
"3003","1",16,2,"0",3,2,3,1,"1","0","0",7,18787,64,420,521,21.2,1535.6,20,4,1,0,"0","0","0",7,18266,57,23,1493.6
"3004","1",15,1,"0",7,7,7,1,"0","1","0",6.8,18226,57,-1167,259,16.8,1612.2,15,1,3,0,"0","0","0",7,17967,47,21,1728.9
"3005","1",44,1,"0",4,4,4,1,"0","1","0",7,17981,54,-99,151,21.1,1542.6,16,1,2,1,"1","0","0",6.8,17830,56,23,1552.5
"3006","1",16,3,"1",7,7,5,0,"0","0","0",7.2,19097,52,387,1781,21.6,1644.8,15,1,2,0,"0","0","0",6.8,17316,48,21,1606.1
"3007","0",16,2,"0",2,5,1,0,"0","0","0",6.8,16753,52,-1700,-1053,22,1418.2,12,2,3,0,"0","0","0",6.8,17806,43,22.3,1588.2
"3008","1",12,1,"0",4,7,4,1,"0","1","0",7.2,19024,59,-820,-298,20,1589.1,35,1,7,1,"1","0","0",7.4,19322,48,21.4,1671.1
"3009","1",16,1,"0",5,13,5,1,"0","1","0",6.4,16120,29,-3945,-1758,21.9,1585.8,13,5,19,1,"1","0","1",7.2,17878,47,19.6,1980.3
"3010","0",12,3,"0",4,8,5,1,"0","1","0",6.4,16818,44,-3238,-1130,18,1494.9,18,4,9,1,"1","0","0",7,17948,40,25.9,1818.7
"3011","0",13,1,"1",2,6,3,1,"1","0","0",7,17055,48,-2511,-2347,21,1437.7,33,2,8,0,"0","0","0",7.2,19402,60,24.9,1688.8
"3012","0",16,2,"1",5,3,6,1,"1","0","0",7,18587,51,1433,1278,22.3,1594.6,46,4,2,0,"0","0","0",7,17309,54,18.3,1451.3
"3013","0",14,3,"1",2,6,3,0,"0","0","0",6.8,17939,53,-1037,-1057,23.4,1558.4,15,4,13,0,"0","0","0",7.2,18996,56,22.2,1662.1
"3014","1",11,7,"0",4,3,3,1,"1","0","0",7,18316,58,1344,1628,24.4,1580,16,2,1,0,"0","0","0",6.6,16688,37,21,1445.6
"3015","0",13,0,"0",6,6,7,2,"1","1","0",7.2,18620,49,-245,330,23.1,1621,15,1,8,0,"0","0","0",7.2,18290,55,22,1645.5
"3016","1",20,6,"1",13,4,7,1,"1","0","1",7.4,19713,48,5920,2703,22.9,2058.7,16,3,3,0,"0","0","0",6.8,17010,58,16.8,1466.7
"3017","1",16,2,"1",3,5,3,1,"1","0","0",7,18331,52,539,774,23.3,1573.5,19,2,4,0,"0","0","0",7,17557,40,22,1519.6
"3018","0",15,2,"1",8,7,7,0,"0","0","0",7.2,18525,39,708,302,24.2,1737.8,13,1,6,0,"0","0","0",7,18223,45,23.5,1667
"3019","0",15,0,"0",10,5,14,0,"0","0","0",6.6,16834,36,2876,2805,22.2,1799.3,14,3,8,0,"0","0","0",6,14029,36,18,1511.7
"3020","1",20,0,"1",5,7,9,0,"0","0","0",6.8,16945,32,-184,408,23.6,1607.2,12,5,7,0,"0","0","0",6.8,16537,39,19.5,1625.6
"3021","0",20,4,"0",3,5,4,1,"1","0","0",7,18380,56,-101,-380,25.1,1555.7,14,1,2,0,"0","0","0",7.2,18760,64,21,1565.8
"3022","0",17,4,"0",3,13,3,0,"0","0","0",6.6,16331,44,-5563,-4698,20.9,1446.7,18,2,8,2,"1","1","0",7.6,21029,70,23.5,2003
"3023","1",19,4,"1",8,9,12,1,"1","0","0",6.4,15907,48,-447,-2127,19.7,1609.6,40,5,7,0,"0","0","0",7,18034,36,19.3,1654.3
"3024","1",16,1,"1",7,4,8,1,"1","0","0",6.8,17063,55,1487,1143,17.1,1635.1,15,0,2,0,"0","0","0",6.4,15920,28,22.4,1486.4
"3025","1",22,0,"0",6,4,5,1,"1","0","0",7,18735,44,1126,878,22.7,1653.8,12,1,2,1,"0","1","0",6.8,17857,45,22.5,1541.2
"3026","1",18,3,"0",5,2,3,0,"0","0","0",7.2,19371,48,1795,1933,25.9,1633.7,15,6,2,0,"0","0","0",6.8,17438,48,23.8,1454.2
"3027","1",44,1,"1",10,2,13,1,"1","0","0",6.8,17753,37,4216,2141,20.9,1751.9,11,2,1,0,"0","0","0",6.4,15612,38,19.7,1330.3
"3028","0",11,1,"1",2,3,5,1,"1","0","0",6.8,17323,47,-1517,-972,21.4,1430.5,16,0,3,1,"0","1","0",7,18295,68,22.5,1582.2
"3029","0",16,5,"0",12,5,9,0,"0","0","0",7.4,18909,54,1236,149,17.4,1827.9,15,4,3,2,"1","1","0",7,18760,60,22.4,1704.3
"3030","1",21,2,"1",8,6,9,2,"1","1","0",7,18545,44,2489,1473,24.6,1780.8,17,3,4,0,"0","0","0",6.6,17072,42,19.1,1531.9
"3031","0",16,3,"1",6,6,5,1,"0","1","0",7.4,19151,48,1259,1281,25,1736,19,2,8,1,"1","0","0",7,17870,60,20.1,1610.1
"3032","1",36,1,"1",11,6,10,1,"0","1","0",7.2,19086,65,3281,1747,22,1884.9,9,4,3,1,"1","0","0",6.8,17339,56,20.2,1556.8
"3033","0",16,3,"0",4,4,6,0,"0","0","0",7.2,17857,40,-1136,-1235,24.4,1564.1,61,2,3,1,"1","0","0",7.2,19092,71,23.4,1677.7
"3034","0",18,1,"0",2,6,2,0,"0","0","0",6.6,15571,43,-5838,-4101,18.5,1340.8,15,2,4,1,"1","0","0",7.2,19672,72,25.5,1924.6
"3035","1",14,0,"1",13,10,15,0,"0","0","0",7,18628,56,1973,1461,22.9,1936.6,11,2,13,1,"1","0","0",6.8,17167,43,16.4,1739.3
"3036","0",16,3,"1",7,6,8,1,"1","0","0",6.6,16213,44,592,-875,20.4,1664.6,30,3,8,0,"0","0","0",6.6,17088,56,20.4,1605.4
"3037","0",13,1,"1",3,9,4,1,"1","0","0",6.8,17067,56,-2492,-1526,20.7,1500.9,16,1,13,0,"0","0","0",7.4,18593,50,20.4,1750.1
"3038","0",17,3,"1",5,9,5,1,"1","0","0",6.8,17353,68,-1490,-1624,21,1592.1,16,4,14,0,"0","0","0",7.2,18977,52,21.5,1741.1
"3039","1",15,3,"1",8,6,12,1,"1","0","0",6.6,16748,53,2957,2549,21,1801.2,47,2,5,0,"0","0","0",6,14199,41,17.7,1505.5
"3040","0",13,1,"0",5,12,5,1,"1","0","0",6.6,16423,45,-4927,-5216,20.3,1522.4,40,2,11,0,"0","0","0",7.8,21639,63,23.1,2015.1
"3041","0",16,4,"0",6,15,7,0,"0","0","0",6.6,16418,46,-4879,-3465,16.5,1548.4,44,5,16,1,"1","0","0",7.4,19883,39,25,2036.3
"3042","1",12,2,"1",3,3,2,2,"1","1","0",7.2,18425,56,-424,-1075,24.9,1555,15,4,5,0,"0","0","0",7.2,19500,68,24.5,1597.4
"3043","0",18,2,"1",6,4,5,0,"0","0","0",6.8,17705,48,-1018,-1531,22.5,1589.5,15,3,6,1,"1","0","0",7.4,19236,80,23.2,1691.3
"3044","1",57,2,"1",8,5,7,1,"0","1","0",7,18113,64,907,-86,20.7,1677.6,18,2,8,1,"1","0","0",7,18199,42,22.8,1586.9
"3045","0",8,1,"0",1,5,2,0,"0","0","0",6.4,16544,52,-3445,-2015,19.7,1344.4,14,0,5,0,"0","0","0",7,18559,53,24.6,1688.9
"3046","1",37,1,"0",11,9,11,0,"0","0","0",7.2,18271,71,152,-486,16.2,1797.1,16,0,9,0,"0","0","0",7.2,18757,48,19.2,1781.9
"3047","0",14,1,"0",1,7,3,0,"0","0","0",6.4,15381,43,-4456,-2336,17.2,1295.9,52,3,17,0,"0","0","0",6.8,17717,51,19.6,1741.5
"3048","1",15,5,"1",9,9,7,0,"0","0","0",7,17613,38,69,-232,21.7,1722.5,13,4,12,0,"0","0","0",7,17845,32,21,1715.6
"3049","0",15,2,"1",9,6,8,0,"0","0","0",7.4,19890,67,868,1728,21.2,1784.8,18,1,8,1,"1","0","0",7.2,18162,56,21.6,1698
"3050","0",13,0,"0",2,4,1,1,"0","1","0",7,18033,63,209,1023,21.5,1544.8,49,3,4,0,"0","0","0",6.8,17010,43,22.4,1523.9
"3051","0",18,3,"1",5,6,7,1,"1","0","0",7,17540,51,-1611,-1931,20.8,1542.5,16,6,6,0,"0","0","0",7.4,19471,56,24.6,1703.6
"3052","1",18,3,"1",5,3,10,1,"1","0","0",7,17819,59,385,-71,21.1,1571.7,21,1,3,0,"0","0","0",7,17890,61,23.1,1533.2
"3053","0",11,0,"0",5,8,1,0,"0","0","0",6,15373,48,-3750,-4961,19.5,1458.9,66,2,14,1,"1","0","0",7.4,20334,59,22.9,1833.9
"3054","1",20,12,"1",4,5,5,0,"0","0","0",7.2,18378,60,25,327,21.5,1546.3,50,7,5,0,"0","0","0",7,18051,44,21.5,1543.8
"3055","0",16,4,"0",7,8,7,1,"1","0","0",6.6,16667,50,-388,-619,17.4,1601.9,18,3,8,0,"0","0","0",6.8,17286,45,20.7,1640.7
"3056","1",14,4,"1",8,4,7,0,"0","0","1",6.8,17330,45,1930,425,21.9,1763.4,17,1,5,0,"0","0","0",6.4,16905,46,22.6,1570.4
"3057","0",51,3,"1",8,8,12,0,"0","0","0",6.2,15395,40,517,-593,15.7,1601.7,16,4,7,0,"0","0","0",6.4,15988,44,17,1550
"3058","1",18,4,"1",6,7,10,2,"1","1","0",7,19074,67,-214,1004,23.6,1725.9,84,3,8,0,"0","0","0",7,18070,46,22.5,1747.3
"3059","1",12,5,"0",5,2,3,1,"1","0","0",7,18917,56,2229,2851,25,1622.6,15,3,2,0,"0","0","0",6.4,16066,40,19.7,1399.7
"3060","0",15,2,"1",10,4,11,2,"1","1","0",6.8,18684,58,1953,1494,20.2,1781.6,16,5,6,0,"0","0","0",7,17190,41,22.4,1586.3
"3061","0",15,2,"0",4,6,3,0,"0","0","0",6.8,18026,64,-781,-1296,21,1553.2,22,1,4,2,"1","1","0",7.2,19322,58,22,1631.3
"3062","1",20,4,"0",7,7,9,0,"0","0","0",6.8,17971,55,380,1750,21.7,1694.6,16,1,10,2,"1","1","0",6.6,16221,36,23,1656.6
"3063","0",43,3,"0",5,6,4,0,"0","0","0",6.8,18530,48,-758,733,22.2,1601.9,21,4,7,0,"0","0","0",7,17797,56,21.5,1677.7
"3064","1",14,3,"0",8,4,8,0,"0","0","0",7.2,18237,48,3072,1589,23.2,1793.8,15,2,4,1,"1","0","0",6.8,16648,42,20.7,1486.6
"3065","1",18,1,"0",9,6,10,1,"0","1","0",7,18140,51,2549,1269,18.6,1751.2,17,0,6,1,"1","0","0",6.6,16871,41,17.4,1496.3
"3066","1",35,4,"1",8,5,7,2,"1","1","0",6.8,17310,41,2427,2303,20.8,1671.2,12,2,7,0,"0","0","0",6.4,15007,33,17.2,1428.5
"3067","0",15,5,"0",5,6,7,1,"0","1","0",6.8,17592,41,-844,-689,20.2,1591.3,16,3,3,1,"1","0","0",7.2,18281,56,24.7,1675.7
"3068","0",9,3,"1",6,9,6,1,"1","0","0",6.8,17877,59,-1394,-2258,21.1,1710.8,17,1,10,0,"0","0","0",7.6,20135,67,21,1850.2
"3069","1",10,0,"1",16,9,11,2,"1","1","3",7.6,21214,52,7128,6117,22.3,2334.9,11,0,13,0,"0","0","0",6.2,15097,40,14,1622.1
"3070","0",38,0,"1",5,5,3,2,"1","1","0",7.4,18820,56,-826,38,22.9,1554.8,10,20,6,0,"0","0","0",7.2,18782,66,22.5,1637.4
"3071","0",18,1,"0",5,2,5,1,"1","0","0",7,18633,44,1233,251,24.7,1595,14,2,2,0,"0","0","0",6.8,18382,60,20.4,1471.7
"3072","1",59,1,"1",5,2,3,1,"0","1","0",7,18969,58,476,467,22.5,1601.4,21,6,1,0,"0","0","0",7.2,18502,53,25.7,1553.8
"3073","0",13,1,"0",9,15,8,1,"1","0","0",7,17316,46,-2587,-1470,17.8,1741.9,15,3,23,0,"0","0","0",7.2,18786,50,21.4,2000.6
"3074","0",15,0,"1",11,5,13,0,"0","0","1",7.2,18500,39,3763,874,20.7,1997.9,11,1,6,0,"0","0","0",7,17626,51,19.4,1621.6
"3075","0",15,6,"0",3,8,2,1,"1","0","0",6.6,15708,40,-2968,-2159,18.8,1412.2,19,4,7,0,"0","0","0",7,17867,47,18.2,1709
"3076","1",18,2,"1",10,11,13,0,"0","0","0",6.4,16191,38,-384,-1658,17.3,1744.7,12,1,9,0,"0","0","0",7,17849,40,20.8,1783.1
"3077","0",14,3,"0",7,8,9,0,"0","0","0",6.8,17858,39,-1673,-327,19.6,1612.2,16,1,8,0,"0","0","0",7,18185,52,23.1,1779.5
"3078","0",28,1,"1",12,11,12,0,"0","0","0",7,17626,55,-466,-26,17.9,1833.6,15,2,19,0,"0","0","0",6.6,17652,32,21.1,1880.2
"3079","0",14,0,"0",0,12,0,0,"0","0","0",6,13961,44,-8461,-7340,15.1,1200.2,58,3,9,0,"0","0","1",7.8,21301,52,23.8,2046.3
"3080","0",15,6,"1",3,5,5,0,"0","0","0",6.4,16230,39,-3682,-3599,20.9,1437.8,14,3,2,2,"1","1","1",7.4,19829,66,24.5,1806
"3081","0",18,2,"1",8,4,18,0,"0","0","0",7,18548,60,3544,2399,22.2,1769.1,14,3,4,0,"0","0","0",6.4,16149,44,18.4,1414.7
"3082","1",15,2,"1",15,11,13,0,"0","0","0",7.2,18717,39,2008,2566,19.5,1940.2,15,2,12,0,"0","0","0",6.4,16151,44,18,1739.4
"3083","1",23,2,"1",3,1,3,0,"0","0","0",6.8,18574,54,3100,1653,24.9,1646.8,19,2,0,0,"0","0","0",6.6,16921,41,19.2,1336.8
"3084","0",16,2,"0",2,11,5,0,"0","0","0",6.4,15896,51,-3576,-3516,20.7,1448.6,88,3,11,1,"0","1","0",7.2,19412,56,20.5,1806.2
"3085","1",16,2,"0",9,8,9,0,"0","0","0",7.4,18869,50,775,1702,22.5,1765.2,17,2,3,1,"0","1","0",6.6,17167,44,21,1687.7
"3086","1",18,6,"1",7,3,12,1,"1","0","0",6.6,15724,38,1515,857,16.5,1549.4,15,3,2,0,"0","0","0",6.4,14867,49,18.6,1397.9
"3087","0",16,2,"1",6,8,11,0,"0","0","0",6.8,17661,54,-82,117,20,1627,15,3,4,1,"1","0","0",6.8,17544,37,22.1,1635.2
"3088","0",14,4,"1",5,6,3,0,"0","0","0",6.8,17722,47,-903,-1584,23.2,1589.9,33,5,7,1,"1","0","0",7.2,19306,45,24.9,1680.2
"3089","0",39,1,"0",3,12,3,0,"0","0","0",7,17550,53,-5802,-3559,20.1,1427.7,12,4,9,1,"1","0","0",7.6,21109,58,24,2007.9
"3090","1",18,4,"0",5,6,4,0,"0","0","1",7.2,18857,72,1492,1607,20.2,1735,17,5,9,1,"1","0","0",7,17250,44,19.1,1585.8
"3091","1",12,5,"1",8,9,15,0,"0","0","0",7,18534,51,246,1266,20.9,1831.5,17,0,8,1,"1","0","0",6.8,17268,46,20.8,1806.9
